batch_size,seqlen,gemv_time
2176,1152,0.8131025287612093
2176,1280,0.8984323449836937
2176,1408,0.9837621612061782
2176,1536,1.0690919774286625
2176,1664,1.1552935592316969
2176,1792,1.2414951410347312
2176,1920,1.3276967228377654
2176,2048,1.4138983046408
2176,2176,1.4928603509992986
2176,2304,1.5718223973577967
2176,2432,1.6507844437162955
2176,2560,1.7297464900747939
2176,2688,1.8087085364332924
2176,2816,1.8876705827917908
2176,2944,1.966632629150289
2176,3072,2.045594675508788
2176,3200,2.1207123565130312
2176,3328,2.1958300375172755
2176,3456,2.2709477185215183
2176,3584,2.346065399525763
2176,3712,2.4211830805300067
2176,3840,2.49630076153425
2176,3968,2.5714184425384934
2304,128,0.1328101367983937
2304,256,0.2236856829906875
2304,384,0.31456122918298113
2304,512,0.405436775375275
2304,640,0.4963123215675688
2304,768,0.5871878677598625
2304,896,0.6780634139521562
2304,1024,0.76893896014445
2304,1152,0.8598145063367437
2304,1280,0.9506900525290375
2304,1408,1.041565598721331
2304,1536,1.1324411449136251
2304,1664,1.2240716382664687
2304,1792,1.3157021316193125
2304,1920,1.407332624972156
2304,2048,1.498963118325
2304,2176,1.5825368402582844
2304,2304,1.6661105621915688
2304,2432,1.7496842841248532
2304,2560,1.8332580060581374
2304,2688,1.9168317279914215
2304,2816,2.000405449924706
2304,2944,2.083979171857991
2304,3072,2.167552893791275
2304,3200,2.2468081748015876
2304,3328,2.3260634558119
2304,3456,2.4053187368222124
2304,3584,2.484574017832525
2304,3712,2.5638292988428377
2304,3840,2.64308457985315
2304,3968,2.7223398608634626
2432,128,0.135156274615453
2432,256,0.23157755077755612
2432,384,0.32799882693965915
2432,512,0.42442010310176226
2432,640,0.5208413792638655
2432,768,0.6172626554259686
2432,896,0.7136839315880719
2432,1024,0.8101052077501749
2432,1152,0.9065264839122782
2432,1280,1.0029477600743812
2432,1408,1.0993690362364845
2432,1536,1.1957903123985874
2432,1664,1.2928497173012405
2432,1792,1.3899091222038937
2432,1920,1.4869685271065467
2432,2048,1.5840279320092
2432,2176,1.6722133295172705
2432,2304,1.7603987270253405
2432,2432,1.848584124533411
2432,2560,1.9367695220414813
2432,2688,2.0249549195495518
2432,2816,2.113140317057622
2432,2944,2.2013257145656917
2432,3072,2.289511112073763
2432,3200,2.3729039930901434
2432,3328,2.4562968741065245
2432,3456,2.5396897551229065
2432,3584,2.6230826361392876
2432,3712,2.7064755171556687
2432,3840,2.7898683981720502
2432,3968,2.8732612791884313
2560,128,0.13750241243251246
2560,256,0.23946941856442483
2560,384,0.34143642469633734
2560,512,0.4434034308282499
2560,640,0.5453704369601625
2560,768,0.647337443092075
2560,896,0.7493044492239873
2560,1024,0.8512714553558999
2560,1152,0.9532384614878125
2560,1280,1.0552054676197251
2560,1408,1.1571724737516376
2560,1536,1.25913947988355
2560,1664,1.3616277963360126
2560,1792,1.464116112788475
2560,1920,1.5666044292409376
2560,2048,1.6690927456934
2560,2176,1.7618898187762562
2560,2304,1.8546868918591126
2560,2432,1.9474839649419686
2560,2560,2.0402810380248253
2560,2688,2.133078111107681
2560,2816,2.2258751841905373
2560,2944,2.3186722572733935
2560,3072,2.41146933035625
2560,3200,2.4989998113787
2560,3328,2.5865302924011497
2560,3456,2.6740607734236
2560,3584,2.76159125444605
2560,3712,2.8491217354685
2560,3840,2.9366522164909497
2560,3968,3.0241826975133996
2688,128,0.13984855024957174
2688,256,0.24736128635129379
2688,384,0.3548740224530156
2688,512,0.4623867585547373
2688,640,0.5698994946564594
2688,768,0.6774122307581812
2688,896,0.7849249668599031
2688,1024,0.892437702961625
2688,1152,0.999950439063347
2688,1280,1.1074631751650688
2688,1408,1.2149759112667908
2688,1536,1.3224886473685127
2688,1664,1.4304058753707847
2688,1792,1.5383231033730562
2688,1920,1.646240331375328
2688,2048,1.7541575593776
2688,2176,1.8515663080352422
2688,2304,1.9489750566928845
2688,2432,2.0463838053505263
2688,2560,2.1437925540081686
2688,2688,2.241201302665811
2688,2816,2.338610051323453
2688,2944,2.4360187999810954
2688,3072,2.533427548638737
2688,3200,2.6250956296672565
2688,3328,2.7167637106957754
2688,3456,2.808431791724294
2688,3584,2.9000998727528127
2688,3712,2.991767953781331
2688,3840,3.0834360348098495
2688,3968,3.175104115838369
2816,128,0.14219468806663102
2816,256,0.2552531541381623
2816,384,0.36831162020969355
2816,512,0.4813700862812251
2816,640,0.5944285523527562
2816,768,0.7074870184242875
2816,896,0.8205454844958189
2816,1024,0.9336039505673499
2816,1152,1.0466624166388812
2816,1280,1.1597208827104124
2816,1408,1.2727793487819439
2816,1536,1.3858378148534751
2816,1664,1.4991839544055563
2816,1792,1.6125300939576375
2816,1920,1.7258762335097189
2816,2048,1.8392223730618
2816,2176,1.941242797294228
2816,2304,2.0432632215266566
2816,2432,2.145283645759084
2816,2560,2.2473040699915128
2816,2688,2.3493244942239406
2816,2816,2.4513449184563685
2816,2944,2.553365342688797
2816,3072,2.655385766921225
2816,3200,2.7511914479558124
2816,3328,2.8469971289903997
2816,3456,2.9428028100249874
2816,3584,3.0386084910595748
2816,3712,3.134414172094162
2816,3840,3.2302198531287503
2816,3968,3.3260255341633376
2944,128,0.14454082588369072
2944,256,0.26314502192503103
2944,384,0.38174921796637173
2944,512,0.5003534140077125
2944,640,0.618957610049053
2944,768,0.7375618060903937
2944,896,0.8561660021317343
2944,1024,0.9747701981730751
2944,1152,1.0933743942144156
2944,1280,1.2119785902557565
2944,1408,1.330582786297097
2944,1536,1.4491869823384376
2944,1664,1.5679620334403281
2944,1792,1.6867370845422187
2944,1920,1.8055121356441095
2944,2048,1.9242871867459999
2944,2176,2.0309192865532144
2944,2304,2.1375513863604283
2944,2432,2.244183486167642
2944,2560,2.3508155859748565
2944,2688,2.457447685782071
2944,2816,2.5640797855892843
2944,2944,2.670711885396498
2944,3072,2.7773439852037125
2944,3200,2.877287266244369
2944,3328,2.977230547285025
2944,3456,3.0771738283256815
2944,3584,3.1771171093663373
2944,3712,3.2770603904069935
2944,3840,3.37700367144765
2944,3968,3.476946952488306
3072,128,0.14688696370075
3072,256,0.27103688971189976
3072,384,0.3951868157230497
3072,512,0.5193367417341999
3072,640,0.6434866677453501
3072,768,0.7676365937565
3072,896,0.8917865197676498
3072,1024,1.0159364457788
3072,1152,1.1400863717899499
3072,1280,1.2642362978011
3072,1408,1.3883862238122502
3072,1536,1.5125361498234
3072,1664,1.6367401124751
3072,1792,1.7609440751268002
3072,1920,1.8851480377785002
3072,2048,2.0093520004302
3072,2176,2.1205957758122
3072,2304,2.2318395511942
3072,2432,2.3430833265762003
3072,2560,2.4543271019582
3072,2688,2.5655708773402
3072,2816,2.6768146527222
3072,2944,2.7880584281042
3072,3072,2.8993022034862
3072,3200,3.003383084532925
3072,3328,3.10746396557965
3072,3456,3.211544846626375
3072,3584,3.3156257276731
3072,3712,3.4197066087198253
3072,3840,3.52378748976655
3072,3968,3.627868370813275
3200,128,0.14799932110587502
3200,256,0.2778520383922873
3200,384,0.4077047556786999
3200,512,0.5375574729651125
3200,640,0.6674101902515248
3200,768,0.7972629075379375
3200,896,0.92711562482435
3200,1024,1.0569683421107625
3200,1152,1.1868210593971749
3200,1280,1.3166737766835876
3200,1408,1.4465264939700002
3200,1536,1.5763792112564126
3200,1664,1.7057502941253846
3200,1792,1.8351213769943564
3200,1920,1.9644924598633284
3200,2048,2.0938635427323002
3200,2176,2.209568661506811
3200,2304,2.3252737802813224
3200,2432,2.4409788990558328
3200,2560,2.556684017830344
3200,2688,2.672389136604855
3200,2816,2.7880942553793657
3200,2944,2.903799374153876
3200,3072,3.0195044929283874
3200,3200,3.1279927936497094
3200,3328,3.2364810943710314
3200,3456,3.344969395092353
3200,3584,3.453457695813675
3200,3712,3.5619459965349973
3200,3840,3.670434297256319
3200,3968,3.7789225979776404
3328,128,0.1491116785109996
3328,256,0.284667187072675
3328,384,0.4202226956343499
3328,512,0.5557782041960251
3328,640,0.6913337127576998
3328,768,0.8268892213193748
3328,896,0.96244472988105
3328,1024,1.098000238442725
3328,1152,1.2335557470044
3328,1280,1.369111255566075
3328,1408,1.50466676412775
3328,1536,1.640222272689425
3328,1664,1.774760475775669
3328,1792,1.9092986788619122
3328,1920,2.043836881948156
3328,2048,2.1783750850344
3328,2176,2.298541547201422
3328,2304,2.418708009368444
3328,2432,2.538874471535466
3328,2560,2.6590409337024874
3328,2688,2.7792073958695096
3328,2816,2.8993738580365314
3328,2944,3.019540320203553
3328,3072,3.1397067823705753
3328,3200,3.2526025027664938
3328,3328,3.365498223162412
3328,3456,3.478393943558331
3328,3584,3.5912896639542504
3328,3712,3.704185384350169
3328,3840,3.8170811047460877
3328,3968,3.9299768251420066
3456,128,0.1502240359161249
3456,256,0.29148233575306254
3456,384,0.43274063559000026
3456,512,0.5739989354269374
3456,640,0.715257235263875
3456,768,0.8565155351008126
3456,896,0.9977738349377502
3456,1024,1.1390321347746875
3456,1152,1.280290434611625
3456,1280,1.4215487344485624
3456,1408,1.5628070342855
3456,1536,1.7040653341224374
3456,1664,1.8437706574259534
3456,1792,1.9834759807294686
3456,1920,2.1231813040329848
3456,2048,2.2628866273365
3456,2176,2.3875144328960327
3456,2304,2.5121422384555654
3456,2432,2.6367700440150985
3456,2560,2.761397849574631
3456,2688,2.8860256551341643
3456,2816,3.010653460693697
3456,2944,3.1352812662532297
3456,3072,3.2599090718127623
3456,3200,3.377212211883278
3456,3328,3.4945153519537935
3456,3456,3.6118184920243093
3456,3584,3.729121632094825
3456,3712,3.8464247721653404
3456,3840,3.9637279122358566
3456,3968,4.081031052306372
3584,128,0.1513363933212501
3584,256,0.29829748443345006
3584,384,0.44525857554565024
3584,512,0.59221966665785
3584,640,0.7391807577700501
3584,768,0.88614184888225
3584,896,1.03310293999445
3584,1024,1.18006403110665
3584,1152,1.3270251222188498
3584,1280,1.47398621333105
3584,1408,1.62094730444325
3584,1536,1.7679083955554498
3584,1664,1.9127808390762373
3584,1792,2.0576532825970246
3584,1920,2.2025257261178126
3584,2048,2.3473981696385997
3584,2176,2.4764873185906437
3584,2304,2.6055764675426873
3584,2432,2.7346656164947314
3584,2560,2.863754765446775
3584,2688,2.992843914398819
3584,2816,3.1219330633508626
3584,2944,3.2510222123029062
3584,3072,3.3801113612549503
3584,3200,3.501821921000062
3584,3328,3.6235324807451756
3584,3456,3.7452430404902874
3584,3584,3.8669536002353997
3584,3712,3.988664159980513
3584,3840,4.110374719725624
3584,3968,4.232085279470738
3712,128,0.1524487507263755
3712,256,0.3051126331138378
3712,384,0.4577765155013001
3712,512,0.6104403978887628
3712,640,0.763104280276225
3712,768,0.9157681626636877
3712,896,1.0684320450511502
3712,1024,1.2210959274386126
3712,1152,1.373759809826075
3712,1280,1.5264236922135375
3712,1408,1.6790875746009999
3712,1536,1.8317514569884623
3712,1664,1.9817910207265217
3712,1792,2.131830584464581
3712,1920,2.2818701482026404
3712,2048,2.4319097119407
3712,2176,2.565460204285255
3712,2304,2.6990106966298093
3712,2432,2.832561188974364
3712,2560,2.966111681318919
3712,2688,3.0996621736634737
3712,2816,3.2332126660080283
3712,2944,3.3667631583525828
3712,3072,3.5003136506971373
3712,3200,3.626431630116847
3712,3328,3.752549609536556
3712,3456,3.8786675889562656
3712,3584,4.004785568375975
3712,3712,4.130903547795684
3712,3840,4.257021527215393
3712,3968,4.3831395066351035
3840,128,0.15356110813150026
3840,256,0.3119277817942253
3840,384,0.4702944554569506
3840,512,0.628661129119675
3840,640,0.7870278027824
3840,768,0.9453944764451251
3840,896,1.1037611501078501
3840,1024,1.2621278237705749
3840,1152,1.4204944974333
3840,1280,1.578861171096025
3840,1408,1.73722784475875
3840,1536,1.895594518421475
3840,1664,2.050801202376806
3840,1792,2.2060078863321375
3840,1920,2.3612145702874687
3840,2048,2.5164212542428
3840,2176,2.654433089979866
3840,2304,2.7924449257169313
3840,2432,2.9304567614539967
3840,2560,3.0684685971910626
3840,2688,3.206480432928128
3840,2816,3.344492268665194
3840,2944,3.4825041044022593
3840,3072,3.620515940139325
3840,3200,3.751041339233631
3840,3328,3.8815667383279377
3840,3456,4.012092137422244
3840,3584,4.14261753651655
3840,3712,4.273142935610856
3840,3840,4.403668334705162
3840,3968,4.5341937337994676
3968,128,0.154673465536625
3968,256,0.3187429304746126
3968,384,0.4828123954126007
3968,512,0.6468818603505876
3968,640,0.8109513252885753
3968,768,0.9750207902265625
3968,896,1.13909025516455
3968,1024,1.3031597201025373
3968,1152,1.467229185040525
3968,1280,1.6312986499785125
3968,1408,1.7953681149165
3968,1536,1.9594375798544874
3968,1664,2.1198113840270905
3968,1792,2.2801851881996935
3968,1920,2.440558992372297
3968,2048,2.6009327965448996
3968,2176,2.743405975674476
3968,2304,2.885879154804053
3968,2432,3.0283523339336296
3968,2560,3.170825513063206
3968,2688,3.313298692192783
3968,2816,3.4557718713223595
3968,2944,3.598245050451936
3968,3072,3.7407182295815127
3968,3200,3.8756510483504156
3968,3328,4.010583867119319
3968,3456,4.1455166858882215
3968,3584,4.280449504657126
3968,3712,4.415382323426028
3968,3840,4.550315142194931
3968,3968,4.685247960963834
