blocks,batch_size,seqlen,time,BW
108,32,2048,0.0006523372311718,1646821160383.907
108,64,256,0.000196305600641,1372801606882.0554
108,64,384,0.0002745835550207,1470257095220.2808
108,64,512,0.0003492088898395,1540419535846.175
108,64,768,0.0004952750000229,1628121241658.923
108,64,1024,0.0006373636133127,1686333009212.087
108,64,2048,0.0012430872004479,1728410933059.0923
108,128,256,0.0003614632721609,1491098336984.105
108,128,384,0.0005135726926724,1572156867995.7458
108,128,512,0.0006642333321894,1619696476919.9414
108,128,768,0.0009626607229841,1675289594241.1348
108,128,1024,0.0012522432020732,1716611112315.1355
108,128,2048,0.0024577480473791,1748401760132.5513
108,256,256,0.000686606464933,1569974387155.109
108,256,384,0.0010057428099437,1605612938053.5396
108,256,512,0.0013288334909566,1619249354146.6416
108,256,768,0.0019236364572263,1676757044130.26
108,256,1024,0.0024914771052117,1725574430929.6748
108,256,2048,0.0049013349911541,1753453301092.6128
108,384,256,0.0010159364457788,1591567908325.671
108,384,384,0.0015125361498234,1601449658100.9011
108,384,512,0.0020093520004302,1606273642103.9917
108,384,768,0.0028993022034862,1668748591361.8767
108,384,1024,0.00373194925186,1728009505162.9568
108,384,2048,0.0073403032944265,1756248006507.8972
108,512,256,0.0013441916164345,1603870383984.833
108,512,384,0.0020232806412875,1596252771906.4824
108,512,512,0.002685444338847,1602500367536.0708
108,512,768,0.0038609205190237,1670830032427.3835
108,512,1024,0.0049756424265717,1728110188562.0156
108,512,2048,0.0097832590791045,1756932316421.2075
